日期,股票代號,股票名稱,收盤價,月平均價
"1150305","0050","元大台灣50","77.40","78.03"
"1150305","0051","元大中型100","106.25","108.10"
"1150305","0052","富邦科技","45.85","46.33"
"1150305","0053","元大電子","170.35","171.89"
"1150305","0055","元大MSCI金融","32.90","33.35"
"1150305","0056","元大高股息","38.50","38.82"
"1150305","0057","富邦摩台","226.70","229.41"
"1150305","0061","元大寶滬深","23.63","23.63"
"1150305","006203","元大MSCI台灣","139.20","141.05"
"1150305","006204","永豐臺灣加權","172.25","174.05"
"1150305","006205","富邦上証","41.19","41.22"
"1150305","006206","元大上證50","37.42","37.52"
"1150305","006207","復華滬深","31.59","31.63"
"1150305","006208","富邦台50","179.35","180.79"
"1150305","00625K","富邦上証+R","","8.91"
"1150305","00631L","元大台灣50正2","478.80","490.00"
"1150305","00632R","元大台灣50反1","14.15","14.02"
"1150305","00633L","富邦上証正2","45.87","45.89"
"1150305","00634R","富邦上証反1","3.30","3.30"
"1150305","00635U","期元大S&P黃金","54.80","55.74"
"1150305","00636","國泰中國A50","26.48","26.42"
"1150305","00636K","國泰中國A50+U","8.40","8.41"
"1150305","00637L","元大滬深300正2","18.90","18.86"
"1150305","00638R","元大滬深300反1","7.14","7.13"
"1150305","00639","富邦深100","15.49","15.43"
"1150305","00640L","富邦日本正2","91.20","93.10"
"1150305","00641R","富邦日本反1","4.20","4.15"
"1150305","00642U","期元大S&P石油","20.41","20.15"
"1150305","00643","群益深証中小","18.18","18.18"
"1150305","00643K","群益深証中小+R","3.98","3.99"
"1150305","00645","富邦日本","52.05","52.58"
"1150305","00646","元大S&P500","68.25","67.83"
"1150305","00647L","元大S&P500正2","115.40","114.04"
"1150305","00648R","元大S&P500反1","4.37","4.39"
"1150305","00650L","復華香港正2","17.04","17.27"
"1150305","00651R","復華香港反1","5.37","5.33"
"1150305","00652","富邦印度","35.27","35.23"
"1150305","00653L","富邦印度正2","50.95","50.99"
"1150305","00654R","富邦印度反1","6.67","6.67"
"1150305","00655L","國泰中國A50正2","31.80","31.76"
"1150305","00656R","國泰中國A50反1","6.32","6.31"
"1150305","00657","國泰日經225","65.65","65.99"
"1150305","00657K","國泰日經225+U","20.57","20.92"
"1150305","00660","元大歐洲50","42.81","43.29"
"1150305","00661","元大日經225","71.85","72.49"
"1150305","00662","富邦NASDAQ","101.90","100.56"
"1150305","00663L","國泰臺灣加權正2","62.35","64.09"
"1150305","00664R","國泰臺灣加權反1","2.28","2.27"
"1150305","00665L","富邦恒生國企正2","9.53","9.72"
"1150305","00666R","富邦恒生國企反1","9.28","9.21"
"1150305","00668","國泰美國道瓊","56.15","55.98"
"1150305","00668K","國泰美國道瓊+U","17.80","17.82"
"1150305","00669R","國泰美國道瓊反1","5.69","5.70"
"1150305","00670L","富邦NASDAQ正2","154.85","151.51"
"1150305","00671R","富邦NASDAQ反1","2.90","2.93"
"1150305","00673R","期元大S&P原油反1","21.02","21.70"
"1150305","00674R","期元大S&P黃金反1","4.82","4.73"
"1150305","00675L","富邦臺灣加權正2","189.55","194.41"
"1150305","00676R","富邦臺灣加權反1","7.77","7.71"
"1150305","00678","群益那斯達克生技","36.28","36.19"
"1150305","00680L","元大美債20正2","7.42","7.54"
"1150305","00681R","元大美債20反1","20.51","20.33"
"1150305","00682U","期元大美元指數","20.34","20.29"
"1150305","00683L","期元大美元指正2","21.09","20.94"
"1150305","00684R","期元大美元指反1","15.37","15.43"
"1150305","00685L","群益臺灣加權正2","170.60","174.81"
"1150305","00686R","群益臺灣加權反1","1.40","1.39"
"1150305","00688L","國泰20年美債正2","7.40","7.53"
"1150305","00689R","國泰20年美債反1","21.30","21.12"
"1150305","00690","兆豐藍籌30","52.20","52.59"
"1150305","00692","富邦公司治理","67.85","68.45"
"1150305","00693U","期街口S&P黃豆","22.05","21.99"
"1150305","00700","富邦恒生國企","17.21","17.39"
"1150305","00701","國泰股利精選30","29.10","29.50"
"1150305","00702","國泰標普低波高息","24.65","24.61"
"1150305","00703","台新MSCI中國","20.25","20.38"
"1150305","00706L","期元大S&P日圓正2","20.12","20.11"
"1150305","00708L","期元大S&P黃金正2","122.20","126.58"
"1150305","00709","富邦歐洲","38.10","38.63"
"1150305","00710B","復華彭博非投等債","19.11","19.05"
"1150305","00711B","復華彭博新興債","16.51","16.59"
"1150305","00712","復華富時不動產","9.28","9.27"
"1150305","00713","元大台灣高息低波","52.55","52.81"
"1150305","00714","群益道瓊美國地產","21.37","21.25"
"1150305","00715L","期街口布蘭特正2","37.76","35.26"
"1150305","00717","富邦美國特別股","15.15","15.12"
"1150305","00728","第一金工業30","43.61","43.87"
"1150305","00730","富邦臺灣優質高息","23.08","22.98"
"1150305","00731","復華富時高息低波","71.65","72.74"
"1150305","00733","富邦臺灣中小","54.70","55.48"
"1150305","00735","國泰臺韓科技","68.80","69.72"
"1150305","00736","國泰新興市場","28.70","28.98"
"1150305","00737","國泰AI機器人","34.55","34.50"
"1150305","00738U","期元大道瓊白銀","69.00","71.75"
"1150305","00739","元大MSCI A股","27.52","27.48"
"1150305","00752","中信中國50","23.94","24.18"
"1150305","00753L","中信中國50正2","10.64","10.82"
"1150305","00757","統一FANG+","111.30","108.51"
"1150305","00762","元大全球AI","82.35","81.17"
"1150305","00763U","期街口道瓊銅","31.97","32.30"
"1150305","00770","國泰北美科技","51.90","51.24"
