Trans_Date,股票代號,股票名稱,收盤價
1150102,0056,元大高股息,37.01
1150105,0056,元大高股息,37.13
1150106,0056,元大高股息,37.26
1150107,0056,元大高股息,37.62
1150108,0056,元大高股息,37.41
1150109,0056,元大高股息,37.4
1150112,0056,元大高股息,37.67
1150113,0056,元大高股息,37.74
1150114,0056,元大高股息,37.96
1150115,0056,元大高股息,38.01
1150102,00762,元大全球AI,83.25
1150105,00762,元大全球AI,83.4
1150106,00762,元大全球AI,84.05
1150107,00762,元大全球AI,85.15
1150108,00762,元大全球AI,85.2
1150109,00762,元大全球AI,84.15
1150112,00762,元大全球AI,84.75
1150113,00762,元大全球AI,86
1150114,00762,元大全球AI,86.8
1150115,00762,元大全球AI,85.6
1150102,00919,群益台灣精選高息,22.4
1150105,00919,群益台灣精選高息,22.42
1150106,00919,群益台灣精選高息,22.53
1150107,00919,群益台灣精選高息,22.92
1150108,00919,群益台灣精選高息,22.93
1150109,00919,群益台灣精選高息,22.94
1150112,00919,群益台灣精選高息,23.13
1150113,00919,群益台灣精選高息,23.17
1150114,00919,群益台灣精選高息,23.25
1150115,00919,群益台灣精選高息,23.35
1150102,00990A,主動元大AI新經濟,10.15
1150105,00990A,主動元大AI新經濟,10.3
1150106,00990A,主動元大AI新經濟,10.31
1150107,00990A,主動元大AI新經濟,10.48
1150108,00990A,主動元大AI新經濟,10.49
1150109,00990A,主動元大AI新經濟,10.33
1150112,00990A,主動元大AI新經濟,10.42
1150113,00990A,主動元大AI新經濟,10.56
1150114,00990A,主動元大AI新經濟,10.7
1150115,00990A,主動元大AI新經濟,10.54
1150102,2330,台積電,1585
1150105,2330,台積電,1670
1150106,2330,台積電,1705
1150107,2330,台積電,1675
1150108,2330,台積電,1685
1150109,2330,台積電,1680
1150112,2330,台積電,1690
1150113,2330,台積電,1710
1150114,2330,台積電,1710
1150115,2330,台積電,1690
1150102,3017,奇鋐,1455
1150105,3017,奇鋐,1450
1150106,3017,奇鋐,1425
1150107,3017,奇鋐,1375
1150108,3017,奇鋐,1355
1150109,3017,奇鋐,1375
1150112,3017,奇鋐,1355
1150113,3017,奇鋐,1345
1150114,3017,奇鋐,1420
1150115,3017,奇鋐,1380
1150102,3443,創意,2185
1150105,3443,創意,2320
1150106,3443,創意,2485
1150107,3443,創意,2490
1150108,3443,創意,2450
1150109,3443,創意,2365
1150112,3443,創意,2435
1150113,3443,創意,2420
1150114,3443,創意,2420
1150115,3443,創意,2505
1150102,6442,光聖,1380
1150105,6442,光聖,1325
1150106,6442,光聖,1300
1150107,6442,光聖,1295
1150108,6442,光聖,1330
1150109,6442,光聖,1400
1150112,6442,光聖,1415
1150113,6442,光聖,1340
1150114,6442,光聖,1360
1150115,6442,光聖,1320
1150115,3131,弘塑,1785
1150113,3131,弘塑,1785
1150112,3131,弘塑,1825
1150109,3131,弘塑,1790
1150108,3131,弘塑,1830
1150107,3131,弘塑,1825
1150106,3131,弘塑,1760
1150105,3131,弘塑,1765
1150102,3131,弘塑,1605
1150114,3131,弘塑,1840
1150115,6510,精測,2375
1150113,6510,精測,2285
1150112,6510,精測,2175
1150109,6510,精測,2185
1150108,6510,精測,2190
1150107,6510,精測,2325
1150106,6510,精測,2330
1150105,6510,精測,2250
1150114,6510,精測,2415
1150102,6510,精測,2295
1150429,00762,元大全球AI,99.55
1150429,0056,元大高股息,40.93
1150429,00990A,主動元大AI新經濟,15.53
1150429,2330,台積電,2180
1150429,6442,光聖,2005
1150429,3017,奇鋐,2835
1150429,3443,創意,4120
1150429,919,群益台灣精選高息,23.65
1150102,2308,台達電,995
1150105,2308,台達電,1010
1150106,2308,台達電,1050
1150107,2308,台達電,1030
1150108,2308,台達電,1010
1150109,2308,台達電,1015
1150112,2308,台達電,1055
1150113,2308,台達電,1030
1150114,2308,台達電,1060
1150115,2308,台達電,1045
1150102,3563,牧德,519
1150105,3563,牧德,519
1150106,3563,牧德,536
1150107,3563,牧德,520
1150108,3563,牧德,503
1150109,3563,牧德,509
1150112,3563,牧德,503
1150113,3563,牧德,496.5
1150114,3563,牧德,495
1150115,3563,牧德,493.5
1150102,7751,竑騰,760
1150105,7751,竑騰,752
1150106,7751,竑騰,764
1150107,7751,竑騰,730
1150108,7751,竑騰,709
1150109,7751,竑騰,723
1150112,7751,竑騰,795
1150113,7751,竑騰,874
1150114,7751,竑騰,876
1150115,7751,竑騰,846
1150102,3324,雙鴻,1000
1150105,3324,雙鴻,1005
1150106,3324,雙鴻,1005
1150107,3324,雙鴻,978
1150108,3324,雙鴻,945
1150109,3324,雙鴻,965
1150112,3324,雙鴻,963
1150113,3324,雙鴻,951
1150114,3324,雙鴻,992
1150115,3324,雙鴻,969
