資料日期,代號,名稱,收盤,漲跌,開盤,最高,最低,成交股數,成交金額,成交筆數,最後買價,最後賣價,發行股數,次日漲停價,次日跌停價
"1150210","00679B","元大美債20年","27.39","+0.06","27.35","27.43","27.32","27772000","760224400","2888","27.39","27.40","8193192000","9999.95","0.01"
"1150210","00687B","國泰20年美債","28.50","+0.09","28.42","28.52","28.40","25745000","733034470","2660","28.49","28.50","6278634927","9999.95","0.01"
"1150210","00687C","國泰20年美債+櫃U","9.42","+0.03","9.42","9.42","9.42","25600","241152","7","9.43","9.44","2012268","9999.95","0.01"
"1150210","00694B","富邦美債1-3","41.72","-0.06","41.67","41.75","41.67","292000","12177920","30","41.72","41.73","179576000","9999.95","0.01"
"1150210","00695B","富邦美債7-10","35.61","0.00","35.57","35.63","35.57","189000","6732040","16","35.61","35.63","40186000","9999.95","0.01"
"1150210","00696B","富邦美債20年","29.52","+0.07","29.45","29.57","29.45","2584000","76295600","134","29.52","29.53","771681000","9999.95","0.01"
"1150210","00697B","元大美債7-10","36.21","+0.04","36.17","36.22","36.11","547000","19795240","101","36.21","36.22","67712000","9999.95","0.01"
"1150210","00719B","元大美債1-3","31.12","-0.02","31.14","31.14","31.07","1420000","44174140","360","31.11","31.12","526514000","9999.95","0.01"
"1150210","00720B","元大投資級公司債","33.53","-0.01","33.53","33.57","33.49","6434000","215744040","726","33.52","33.53","4262109000","9999.95","0.01"
"1150210","00722B","群益投資級電信債","36.61","-0.05","36.60","36.65","36.57","3383000","123933590","138","36.61","36.62","1489739000","9999.95","0.01"
"1150210","00723B","群益投資級科技債","31.42","+0.05","31.37","31.42","31.37","220000","6909290","11","31.38","31.39","1516583000","9999.95","0.01"
"1150210","00724B","群益投資級金融債","34.55","0.00","34.51","34.59","34.50","4031000","139355430","103","34.55","34.56","3090275000","9999.95","0.01"
"1150210","00725B","國泰投資級公司債","35.62","0.00","35.62","35.68","35.57","4213000","150123130","657","35.62","35.63","3773706000","9999.95","0.01"
"1150210","00726B","國泰新興投等債","33.44","+0.01","33.41","33.48","33.38","313000","10471530","43","33.44","33.45","1183489000","9999.95","0.01"
"1150210","00727B","國泰優選非投等債","39.88","-0.09","39.81","39.90","39.81","113000","4508290","7","39.88","39.92","55189000","9999.95","0.01"
"1150210","00734B","台新JPM新興債","15.91","+0.05","15.91","15.91","15.91","103000","1638730","4","15.89","15.93","26979000","9999.95","0.01"
"1150210","00740B","富邦全球投等債","39.45","-0.01","39.38","39.49","39.38","2362000","93185980","277","39.45","39.46","1916471000","9999.95","0.01"
"1150210","00741B","富邦全球非投等債","37.84","0.00","37.84","37.84","37.83","106000","4010020","10","37.84","37.86","15628000","9999.95","0.01"
"1150210","00746B","富邦A級公司債","36.10","+0.01","36.04","36.11","36.04","63000","2274100","10","36.09","36.10","2417464000","9999.95","0.01"
"1150210","00749B","凱基新興債10+","32.05","+0.14","31.96","32.07","31.96","104000","3334930","4","32.04","32.07","1168500000","9999.95","0.01"
"1150210","00750B","凱基科技債10+","33.68","+0.05","33.68","33.68","33.68","100000","3368000","4","33.64","33.66","147500000","9999.95","0.01"
"1150210","00751B","元大AAA至A公司債","32.30","0.00","32.30","32.32","32.23","4698000","151670630","563","32.29","32.30","4746603000","9999.95","0.01"
"1150210","00754B","群益AAA-AA公司債","34.32","+0.04","34.33","34.36","34.32","146000","5015340","10","34.32","34.40","1101900000","9999.95","0.01"
"1150210","00755B","群益投資級公用債","33.60","+0.01","33.57","33.62","33.57","164000","5510430","13","33.59","33.60","275230000","9999.95","0.01"
"1150210","00756B","群益投等新興公債","32.29","+0.08","32.23","32.36","32.23","672000","21707620","138","32.29","32.30","1426800000","9999.95","0.01"
"1150210","00758B","復華能源債","52.45","+0.25","52.20","52.45","52.20","101000","5279950","3","52.20","52.45","5525000","9999.95","0.01"
"1150210","00759B","復華製藥債","55.75","-0.05","55.75","55.75","55.75","125000","6968750","5","55.65","55.70","47525000","9999.95","0.01"
"1150210","00760B","復華新興企業債","54.95","+0.10","54.80","55.00","54.80","142000","7801950","19","54.85","54.95","458020000","9999.95","0.01"
"1150210","00761B","國泰A級公司債","35.31","0.00","35.31","35.33","35.25","177000","6249350","29","35.31","35.32","2737589000","9999.95","0.01"
"1150210","00764B","群益25年美債","28.45","+0.07","28.40","28.50","28.38","4446000","126507010","155","28.45","28.46","1388000000","9999.95","0.01"
"1150210","00768B","復華20年美債","52.05","+0.05","52.00","52.10","52.00","289000","15033900","57","52.05","52.10","685100000","9999.95","0.01"
"1150210","00772B","中信高評級公司債","34.31","0.00","34.30","34.37","34.26","1622000","55675330","306","34.31","34.32","3494290000","9999.95","0.01"
"1150210","00773B","中信優先金融債","36.76","0.00","36.76","36.81","36.70","624000","22936050","103","36.76","36.77","2604790000","9999.95","0.01"
"1150210","00777B","凱基AAA至A公司債","33.25","+0.02","33.26","33.26","33.25","101000","3359250","5","33.24","33.25","1862150000","9999.95","0.01"
"1150210","00778B","凱基金融債20+","35.41","+0.04","35.41","35.41","35.41","100000","3541000","4","35.39","35.40","1551650000","9999.95","0.01"
"1150210","00779B","凱基美債25+","28.81","+0.06","28.72","28.82","28.72","364000","10484100","13","28.81","28.82","1162650000","9999.95","0.01"
"1150210","00780B","國泰A級金融債","38.24","+0.03","38.22","38.24","38.17","105000","4014980","6","38.21","38.22","266102000","9999.95","0.01"
"1150210","00781B","國泰A級科技債","29.41","+0.12","29.32","29.41","29.32","108000","3176090","10","29.35","29.42","7836000","9999.95","0.01"
"1150210","00782B","國泰A級公用債","31.18","+0.07","31.12","31.18","31.12","104000","3242540","5","31.14","31.18","17967000","9999.95","0.01"
"1150210","00785B","富邦金融投等債","35.73","+0.02","35.59","35.75","35.59","209000","7465390","13","35.66","35.70","1016966000","9999.95","0.01"
"1150210","00786B","元大10年IG銀行債","33.69","+0.02","33.64","33.69","33.64","97000","3263700","13","33.62","33.67","26066000","9999.95","0.01"
"1150210","00787B","元大10年IG醫療債","33.19","+0.02","33.22","33.22","33.14","21000","696990","10","33.19","33.20","14806000","9999.95","0.01"
