日期,股票代號,股票名稱,收盤價,月平均價
"1150119","0050","元大台灣50","72.60","70.31"
"1150119","0051","元大中型100","102.70","96.95"
"1150119","0052","富邦科技","42.48","40.97"
"1150119","0053","元大電子","157.10","151.35"
"1150119","0055","元大MSCI金融","32.53","32.04"
"1150119","0056","元大高股息","38.42","37.66"
"1150119","0057","富邦摩台","211.05","204.77"
"1150119","0061","元大寶滬深","23.71","23.78"
"1150119","006203","元大MSCI台灣","131.25","126.98"
"1150119","006204","永豐臺灣加權","161.45","155.44"
"1150119","006205","富邦上証","41.05","40.93"
"1150119","006206","元大上證50","37.98","38.33"
"1150119","006207","復華滬深","31.72","31.66"
"1150119","006208","富邦台50","165.50","160.24"
"1150119","00625K","富邦上証+R","","9.14"
"1150119","00631L","元大台灣50正2","433.90","406.95"
"1150119","00632R","元大台灣50反1","15.03","15.53"
"1150119","00633L","富邦上証正2","49.63","50.94"
"1150119","00634R","富邦上証反1","3.20","3.18"
"1150119","00635U","期元大S&P黃金","49.99","48.41"
"1150119","00636","國泰中國A50","27.09","27.45"
"1150119","00636K","國泰中國A50+U","8.60","8.74"
"1150119","00637L","元大滬深300正2","20.35","20.96"
"1150119","00638R","元大滬深300反1","6.90","6.80"
"1150119","00639","富邦深100","15.63","15.57"
"1150119","00640L","富邦日本正2","88.70","84.79"
"1150119","00641R","富邦日本反1","4.27","4.37"
"1150119","00642U","期元大S&P石油","15.61","15.36"
"1150119","00643","群益深証中小","18.36","17.97"
"1150119","00643K","群益深証中小+R","","3.96"
"1150119","00645","富邦日本","51.20","49.94"
"1150119","00646","元大S&P500","68.10","68.57"
"1150119","00647L","元大S&P500正2","117.20","118.75"
"1150119","00648R","元大S&P500反1","4.36","4.33"
"1150119","00650L","復華香港正2","18.80","18.79"
"1150119","00651R","復華香港反1","5.12","5.14"
"1150119","00652","富邦印度","36.62","37.25"
"1150119","00653L","富邦印度正2","55.55","57.32"
"1150119","00654R","富邦印度反1","6.40","6.30"
"1150119","00655L","國泰中國A50正2","34.34","35.41"
"1150119","00656R","國泰中國A50反1","6.09","6.01"
"1150119","00657","國泰日經225","62.90","62.00"
"1150119","00657K","國泰日經225+U","19.94","19.60"
"1150119","00660","元大歐洲50","43.40","43.14"
"1150119","00661","元大日經225","68.95","67.93"
"1150119","00662","富邦NASDAQ","102.30","103.47"
"1150119","00663L","國泰臺灣加權正2","56.60","53.11"
"1150119","00664R","國泰臺灣加權反1","2.43","2.51"
"1150119","00665L","富邦恒生國企正2","11.30","11.38"
"1150119","00666R","富邦恒生國企反1","8.62","8.62"
"1150119","00668","國泰美國道瓊","56.45","56.52"
"1150119","00668K","國泰美國道瓊+U","18.02","17.93"
"1150119","00669R","國泰美國道瓊反1","5.61","5.62"
"1150119","00670L","富邦NASDAQ正2","160.45","163.91"
"1150119","00671R","富邦NASDAQ反1","2.86","2.84"
"1150119","00673R","期元大S&P原油反1","27.37","27.98"
"1150119","00674R","期元大S&P黃金反1","5.45","5.63"
"1150119","00675L","富邦臺灣加權正2","171.85","161.45"
"1150119","00676R","富邦臺灣加權反1","8.26","8.54"
"1150119","00678","群益那斯達克生技","34.87","35.24"
"1150119","00680L","元大美債20正2","7.19","7.23"
"1150119","00681R","元大美債20反1","20.83","20.81"
"1150119","00682U","期元大美元指數","20.25","20.29"
"1150119","00683L","期元大美元指正2","21.08","20.96"
"1150119","00684R","期元大美元指反1","15.48","15.52"
"1150119","00685L","群益臺灣加權正2","154.40","144.89"
"1150119","00686R","群益臺灣加權反1","1.47","1.53"
"1150119","00688L","國泰20年美債正2","7.17","7.21"
"1150119","00689R","國泰20年美債反1","21.72","21.66"
"1150119","00690","兆豐藍籌30","48.37","47.03"
"1150119","00692","富邦公司治理","63.05","61.26"
"1150119","00693U","期街口S&P黃豆","20.19","20.17"
"1150119","00700","富邦恒生國企","18.67","18.78"
"1150119","00701","國泰股利精選30","29.96","29.34"
"1150119","00702","國泰標普低波高息","23.98","23.55"
"1150119","00703","台新MSCI中國","22.20","22.35"
"1150119","00706L","期元大S&P日圓正2","20.13","20.23"
"1150119","00707R","期元大S&P日圓反1","","31.51"
"1150119","00708L","期元大S&P黃金正2","104.45","98.24"
"1150119","00709","富邦歐洲","37.64","37.81"
"1150119","00710B","復華彭博非投等債","19.04","19.07"
"1150119","00711B","復華彭博新興債","16.28","16.34"
"1150119","00712","復華富時不動產","9.76","9.41"
"1150119","00713","元大台灣高息低波","51.95","51.16"
"1150119","00714","群益道瓊美國地產","20.79","20.25"
"1150119","00715L","期街口布蘭特正2","21.43","20.57"
"1150119","00717","富邦美國特別股","15.43","15.35"
"1150119","00728","第一金工業30","40.73","39.08"
"1150119","00730","富邦臺灣優質高息","23.83","23.68"
"1150119","00731","復華富時高息低波","72.15","70.08"
"1150119","00733","富邦臺灣中小","51.20","48.97"
"1150119","00735","國泰臺韓科技","60.30","57.89"
"1150119","00736","國泰新興市場","29.21","28.91"
"1150119","00737","國泰AI機器人","37.01","37.25"
"1150119","00738U","期元大道瓊白銀","76.80","68.03"
"1150119","00739","元大MSCI A股","27.42","27.37"
"1150119","00752","中信中國50","26.92","27.05"
"1150119","00753L","中信中國50正2","12.99","13.12"
"1150119","00757","統一FANG+","114.25","117.15"
"1150119","00762","元大全球AI","84.60","84.94"
"1150119","00763U","期街口道瓊銅","32.56","32.68"
"1150119","00770","國泰北美科技","57.95","58.49"
"1150119","00771","元大US高息特別股","16.31","16.23"
"1150119","00775B","新光投等債15+","32.73","32.80"
"1150119","00783","富邦中証500","28.43","27.46"
"1150119","00830","國泰費城半導體","64.90","62.10"
"1150119","00850","元大臺灣ESG永續","59.80","58.07"
"1150119","00851","台新全球AI","57.20","57.45"
"1150119","00852L","國泰美國道瓊正2","31.50","31.68"
"1150119","00861","元大全球未來通訊","59.30","58.37"
"1150119","00865B","國泰US短期公債","47.33","47.41"
"1150119","00875","國泰網路資安","38.00","38.69"
"1150119","00876","元大全球5G","57.55","55.38"
"1150119","00878","國泰永續高股息","22.81","22.25"
"1150119","00881","國泰台灣科技龍頭","35.87","34.80"
"1150119","00882","中信中國高股息","15.08","15.41"
"1150119","00885","富邦越南","18.86","18.70"
"1150119","00891","中信關鍵半導體","22.59","21.50"
"1150119","00892","富邦台灣半導體","24.31","23.34"
"1150119","00893","國泰智能電動車","33.71","33.32"
"1150119","00894","中信小資高價30","29.80","29.07"
"1150119","00895","富邦未來車","40.55","40.28"
"1150119","00896","中信綠能及電動車","20.59","19.93"
"1150119","00897","富邦基因免疫生技","9.43","9.18"
"1150119","00898","國泰基因免疫革命","8.16","8.18"
"1150119","00899","FT潔淨能源","21.80","21.36"
