日期,西元日期,市場,股票代號,股票名稱,收盤價,漲跌,開盤價,最高價,最低價,成交股數,成交金額,成交筆數,資料來源,下載時間
1150813,2026-08-13,上市,00400A,主動國泰動能高息,14.73,0.3700,14.68,14.80,14.59,45976776,676582364,8919,TWSE_CSV,2026-08-14 14:15:38 +0800
1150813,2026-08-13,上市,00401A,主動摩根台灣鑫收,13.81,0.2400,13.80,13.88,13.74,10337722,142630527,1771,TWSE_CSV,2026-08-14 14:15:38 +0800
1150813,2026-08-13,上市,00402A,主動安聯美國科技,9.90,0.1100,9.89,9.95,9.88,10109183,100055214,1437,TWSE_CSV,2026-08-14 14:15:38 +0800
1150813,2026-08-13,上市,00403A,主動統一升級50,10.30,0.2000,10.26,10.38,10.22,372511476,3841379510,50698,TWSE_CSV,2026-08-14 14:15:38 +0800
1150813,2026-08-13,上市,00404A,主動聯博動能50,9.74,0.0700,9.80,9.84,9.73,10330522,100941817,1047,TWSE_CSV,2026-08-14 14:15:38 +0800
1150813,2026-08-13,上市,00405A,主動富邦台灣龍耀,8.62,0.2000,8.60,8.67,8.52,83455454,718863470,11531,TWSE_CSV,2026-08-14 14:15:38 +0800
1150813,2026-08-13,上市,00406A,主動中信台灣收益,9.69,0.1600,9.69,9.75,9.62,48281365,468285031,9058,TWSE_CSV,2026-08-14 14:15:38 +0800
1150813,2026-08-13,上市,00407A,主動凱基台灣,9.83,0.1700,9.85,9.92,9.76,126087792,1243445450,12836,TWSE_CSV,2026-08-14 14:15:38 +0800
1150813,2026-08-13,上市,00408A,主動第一金優股息,10.57,0.1200,10.61,10.64,10.53,1369311,14496230,337,TWSE_CSV,2026-08-14 14:15:38 +0800
1150813,2026-08-13,上市,00410A,主動永豐科技趨勢,11.31,0.2200,11.30,11.44,11.27,5298253,60101374,1017,TWSE_CSV,2026-08-14 14:15:38 +0800
1150813,2026-08-13,上市,0050,元大台灣50,106.70,1.5000,106.55,107.00,106.15,89418262,9538235767,84691,TWSE_CSV,2026-08-14 14:15:38 +0800
1150813,2026-08-13,上市,0051,元大中型100,145.05,0.1500,146.65,147.20,144.60,50725,7402618,457,TWSE_CSV,2026-08-14 14:15:38 +0800
1150813,2026-08-13,上市,0052,富邦科技,62.40,0.9000,62.50,62.70,62.10,20437587,1275878492,13527,TWSE_CSV,2026-08-14 14:15:38 +0800
1150813,2026-08-13,上市,0053,元大電子,243.15,3.6500,243.80,244.40,242.75,127465,30935540,1482,TWSE_CSV,2026-08-14 14:15:38 +0800
1150813,2026-08-13,上市,0055,元大MSCI金融,43.72,-0.0300,43.89,43.89,43.35,230756,10044116,708,TWSE_CSV,2026-08-14 14:15:38 +0800
