日期,西元日期,市場,股票代號,股票名稱,收盤價,漲跌,開盤價,最高價,最低價,成交股數,成交金額,成交筆數,資料來源,下載時間
1150901,2026-09-01,上市,00400A,主動國泰動能高息,15.37,0.3900,15.14,15.47,15.12,58520000,897443650,7962,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,00401A,主動摩根台灣鑫收,14.19,0.4600,13.79,14.22,13.79,15336000,216219640,1232,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,00402A,主動安聯美國科技,9.51,-0.0400,9.55,9.57,9.50,4117000,39220490,760,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,00403A,主動統一升級50,10.45,0.2300,10.31,10.51,10.29,439825000,4595849890,52540,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,00404A,主動聯博動能50,9.86,0.2600,9.65,9.90,9.65,9731000,95857260,920,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,00405A,主動富邦台灣龍耀,8.93,0.1800,8.83,9.01,8.79,115429000,1029669160,11029,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,00406A,主動中信台灣收益,9.96,0.2900,9.76,10.00,9.74,293129000,2906581510,25555,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,00407A,主動凱基台灣,9.99,0.2300,9.84,10.04,9.83,132679000,1324031130,12579,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,00408A,主動第一金優股息,10.65,0.1500,10.53,10.67,10.53,4104000,43616920,279,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,00410A,主動永豐科技趨勢,12.57,0.3500,12.30,12.61,12.30,11666000,146123170,1195,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,0050,元大台灣50,108.45,2.2000,106.50,108.70,106.50,104653000,11318826850,45491,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,0051,元大中型100,147.45,2.7000,146.95,147.60,146.95,55000,8101100,36,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,0052,富邦科技,63.05,1.2000,62.25,63.30,62.20,22602000,1423796900,8648,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,0053,元大電子,246.35,5.9000,246.00,247.15,245.10,49000,12054450,23,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,0055,元大MSCI金融,46.60,0.6500,46.40,46.80,46.36,342000,15919820,144,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,0056,元大高股息,54.85,0.2500,54.80,55.15,54.60,27488000,1509092600,9826,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,0057,富邦摩台,322.65,6.0500,323.00,323.15,322.25,9000,2905750,9,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,0061,元大寶滬深,24.47,0.2100,24.44,24.47,24.31,66000,1609990,31,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,006203,元大MSCI台灣,197.50,5.1000,195.45,197.50,195.45,3000,589000,3,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,006204,永豐臺灣加權,234.00,5.7000,232.45,234.00,232.45,3000,698950,3,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,006205,富邦上証,40.87,0.3000,40.70,40.87,40.63,57000,2325330,25,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,006206,元大上證50,38.05,0.3000,37.73,38.05,37.73,57000,2160330,16,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,006207,復華滬深,32.42,0.1600,32.26,32.42,32.26,120000,3887300,11,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,006208,富邦台50,248.35,5.4500,244.85,248.85,244.85,2503000,620436100,1624,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,00625K,富邦上証+R,,0.0000,,,,,,,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,00631L,元大台灣50正2,37.26,1.4400,36.17,37.30,36.09,268808000,9932495550,53822,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,00632R,元大台灣50反1,9.73,-0.2200,9.89,9.90,9.72,243759000,2384310860,25362,TWSE_CSV,2026-09-01 14:15:45 +0800
1150901,2026-09-01,上市,00633L,富邦上証正2,49.23,0.7800,48.61,49.55,48.53,1839000,90168180,404,TWSE_CSV,2026-09-01 14:15:45 +0800
