上櫃股票每日收盤行情(不含定價)
產業類別:所有證券(不含權證、牛熊證)
資料日期:115/06/10
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(張數),最後賣價,最後賣量(張數),發行股數 ,次日漲停價 ,次日跌停價
"00679B","元大美債20年","26.51","+0.15","26.49","26.55","26.48","35,614,000","944,158,560","4,865","26.51","1,895","26.52","820","6,958,192,000","9,999.95","0.01"
"00687B","國泰20年美債","27.84","+0.14","27.84","27.87","27.81","31,905,000","888,103,570","4,720","27.83","2,101","27.84","457","5,334,134,927","9,999.95","0.01"
"00687C","國泰20年美債+櫃U","9.28","+0.02","9.28","9.28","9.28","25,000","232,000","2","9.27","72","9.29","21","2,012,268","9,999.95","0.01"
"00694B","富邦美債1-3","41.63","+0.12","41.60","41.63","41.60","258,000","10,738,540","31","41.63","1","41.65","66","38,076,000","9,999.95","0.01"
"00695B","富邦美債7-10","34.96","+0.12","34.85","34.99","34.84","358,000","12,485,520","32","34.96","61","34.99","40","38,686,000","9,999.95","0.01"
"00696B","富邦美債20年","28.90","+0.14","28.87","28.94","28.87","1,908,000","55,141,560","156","28.89","439","28.90","2","659,681,000","9,999.95","0.01"
"00697B","元大美債7-10","35.49","+0.10","35.39","35.54","35.37","599,000","21,223,780","120","35.48","22","35.49","2","66,212,000","9,999.95","0.01"
"00719B","元大美債1-3","30.92","+0.08","30.85","30.93","30.85","3,008,000","92,969,920","563","30.92","2","30.93","146","546,514,000","9,999.95","0.01"
"00720B","元大投資級公司債","33.07","+0.13","33.02","33.12","33.02","9,576,000","316,825,270","1,499","33.07","208","33.08","116","4,104,109,000","9,999.95","0.01"
"00722B","群益投資級電信債","35.93","+0.14","35.87","35.98","35.87","4,966,000","178,459,210","262","35.93","23","35.94","54","1,459,739,000","9,999.95","0.01"
"00723B","群益投資級科技債","30.79","+0.08","30.78","30.86","30.78","127,000","3,912,320","12","30.80","20","30.81","1","1,521,083,000","9,999.95","0.01"
"00724B","群益投資級金融債","33.66","+0.15","33.57","33.69","33.54","3,985,000","134,153,620","106","33.65","56","33.66","35","3,089,775,000","9,999.95","0.01"
"00725B","國泰投資級公司債","35.14","+0.12","35.09","35.18","35.08","4,616,000","162,250,480","711","35.14","205","35.15","35","3,740,206,000","9,999.95","0.01"
"00726B","國泰新興投等債","32.74","+0.12","32.65","32.79","32.65","158,000","5,171,750","26","32.73","36","32.77","3","1,194,489,000","9,999.95","0.01"
"00727B","國泰優選非投等債","39.49","+0.04","39.43","39.54","39.43","108,000","4,264,950","7","39.42","1","39.43","1","56,689,000","9,999.95","0.01"
"00734B","台新JPM新興債","----","---","----","----","----","0","0","0","15.71","20","15.72","1","25,979,000","9,999.95","0.01"
