日期,西元日期,市場,股票代號,股票名稱,收盤價,漲跌,開盤價,最高價,最低價,成交股數,成交金額,成交筆數,資料來源,下載時間
1150622,2026-06-22,上市,00400A,主動國泰動能高息,15.57,0.4500,15.55,15.68,15.53,73628153,1149970800,12740,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00401A,主動摩根台灣鑫收,14.22,0.2300,14.06,14.30,14.06,6766153,96215743,1139,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00402A,主動安聯美國科技,10.03,0.0800,10.03,10.05,10.00,38711457,387784085,5573,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00403A,主動統一升級50,11.38,0.3500,11.34,11.41,11.30,400006178,4547521781,71457,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00404A,主動聯博動能50,10.52,0.3400,10.47,10.52,10.39,20566125,215383697,3468,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00405A,主動富邦台灣龍耀,9.79,0.1500,9.85,9.88,9.76,190248610,1868424234,28343,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00406A,主動中信台灣收益,10.60,0.3100,10.50,10.60,10.45,32107362,338682548,4702,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,0050,元大台灣50,111.15,3.8500,109.45,111.20,109.45,116042256,12844178985,120547,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,0051,元大中型100,151.50,3.8000,150.00,151.90,149.50,94689,14308269,816,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,0052,富邦科技,65.25,2.4500,64.25,65.55,64.25,46591322,3035942522,26482,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,0053,元大電子,252.15,7.2000,249.45,254.15,249.45,39885,10067807,1898,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,0055,元大MSCI金融,42.92,-0.5400,43.60,43.62,42.86,1331867,57301208,1283,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,0056,元大高股息,54.05,1.2500,53.50,54.15,53.50,47649273,2571412244,31503,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,0057,富邦摩台,324.95,7.7500,327.70,328.55,324.95,30504,9987989,488,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,0061,元大寶滬深,25.79,0.2900,25.51,25.83,25.49,575857,14758116,308,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,006203,元大MSCI台灣,201.75,7.7500,199.90,201.75,199.90,6750,1352173,125,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,006204,永豐臺灣加權,239.30,7.5000,238.25,239.30,238.25,16002,3824706,136,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,006205,富邦上証,41.95,0.4100,41.54,41.95,41.15,747987,31055467,329,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,006206,元大上證50,37.86,0.4800,37.18,37.86,37.18,176800,6619376,187,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,006207,復華滬深,34.59,0.3900,34.13,34.59,34.00,441454,15109837,155,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,006208,富邦台50,257.45,8.3500,253.00,258.20,253.00,5127921,1316863745,13828,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00625K,富邦上証+R,,0.0000,,,,,,,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00631L,元大台灣50正2,41.32,2.9900,39.80,41.32,39.80,290716085,11837273336,88381,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00632R,元大台灣50反1,9.65,-0.3800,9.85,9.85,9.65,273674962,2665758230,30324,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00633L,富邦上証正2,54.70,1.3500,53.50,54.75,52.50,2668973,142945693,687,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00634R,富邦上証反1,2.98,-0.0400,3.01,3.03,2.98,253899,762357,27,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00635U,期元大S&P黃金,43.71,-1.3800,43.95,43.97,43.55,6323730,276802150,7276,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00636,國泰中國A50,29.43,0.3800,29.01,29.43,28.83,1126231,32825895,409,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00636K,國泰中國A50+U,9.19,0.0100,9.20,9.20,9.19,500,4596,2,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00637L,元大滬深300正2,22.64,0.5700,22.18,22.65,21.77,32972368,732294315,4003,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00638R,元大滬深300反1,6.38,-0.0900,6.41,6.47,6.38,225110,1446128,25,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00639,富邦深100,18.91,0.2200,18.69,18.93,18.64,1718102,32318089,433,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00640L,富邦日本正2,109.30,1.6000,108.50,109.50,108.45,352464,38423888,172,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00641R,富邦日本反1,3.69,-0.0300,3.72,3.72,3.69,2089458,7728430,148,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00642U,期元大S&P石油,24.55,0.4400,24.90,24.93,24.48,5178019,128081985,1717,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00643,群益深証中小,20.39,-0.0300,20.42,20.52,20.10,3069972,62182332,202,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00643K,群益深証中小+R,,0.0000,,,,,,,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00645,富邦日本,57.85,0.5500,57.45,57.85,57.45,555464,32090882,433,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00646,元大S&P500,74.30,0.0500,74.30,74.45,74.20,3056715,227107979,5406,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00647L,元大S&P500正2,133.25,-0.1000,133.90,133.90,132.55,282420,37644488,197,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00648R,元大S&P500反1,4.02,0.0100,3.99,4.02,3.98,3952260,15839356,86,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00650L,復華香港正2,15.04,-0.0200,15.08,15.15,14.57,11051849,163486125,1434,TWSE_CSV,2026-06-22 20:14:59 +0800
1150622,2026-06-22,上市,00651R,復華香港反1,5.58,0.0200,5.58,5.66,5.56,323149,1815824,52,TWSE_CSV,2026-06-22 20:14:59 +0800
